month,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
2006-12-01,6.375,9.0,6.0,2.0,1.0
2007-01-01,2.836,10.0,1.0,0.0,1.0
2007-02-01,8.411666666666667,13.0,6.0,3.0,1.0
2007-03-01,4.321666666666666,13.0,3.0,0.0,1.0
2007-04-01,1.0566666666666666,1.0,1.0,1.0,1.0
2007-05-01,8.136666666666668,13.0,7.0,2.0,2.0
2007-06-01,4.546666666666667,10.0,4.0,1.0,2.0
2007-07-01,7.805000000000001,13.0,5.0,4.0,2.0
2007-08-01,14.496,14.0,7.0,4.0,2.0
2007-09-01,1.83,5.0,1.0,0.0,2.0
2007-10-01,5.988,5.0,4.0,2.0,2.0
2007-11-01,3.775,8.0,3.0,0.0,2.0
2007-12-01,6.394,9.0,4.0,1.0,1.0
2008-01-01,5.536,10.0,3.0,2.0,1.0
2008-02-01,3.3520000000000003,8.0,2.0,1.0,1.0
2008-03-01,8.438333333333333,18.0,7.0,1.0,1.0
2008-04-01,5.983333333333333,13.0,5.0,1.0,1.0
2008-05-01,6.995,8.0,4.0,2.0,1.0
2008-06-01,1.7166666666666668,5.0,1.0,0.0,2.0
2008-07-01,3.801666666666667,6.0,2.0,1.0,2.0
2008-08-01,8.035,8.0,4.0,2.0,2.0
2008-09-01,2.2700000000000005,6.0,1.0,1.0,2.0
2008-10-01,6.581999999999999,12.0,5.0,2.0,2.0
2008-11-01,5.578,14.0,4.0,0.0,2.0
2008-12-01,3.3240000000000003,9.0,2.0,0.0,1.0
2009-01-01,5.1240000000000006,10.0,4.0,1.0,3.0
2009-02-01,5.066,10.0,3.0,1.0,2.0
2009-03-01,3.274,10.0,1.0,1.0,1.0
2009-04-01,4.446,8.0,4.0,1.0,1.0
2009-05-01,6.134,10.0,4.0,2.0,1.0
2009-06-01,6.304,8.0,5.0,3.0,1.0
2009-07-01,4.088,10.0,3.0,1.0,2.0
2009-08-01,0.895,2.0,1.0,0.0,2.0
2009-09-01,2.415,4.0,2.0,0.0,2.0
2009-10-01,5.24,10.0,3.0,2.0,2.0
2009-11-01,6.37,17.0,4.0,1.0,2.0
2009-12-01,7.330000000000001,16.0,7.0,1.0,2.0
2010-01-01,3.9275,8.0,3.0,1.0,2.0
2010-02-01,5.785,13.0,4.0,2.0,2.0
2010-03-01,3.9725,9.0,4.0,0.0,2.0
2010-04-01,1.48,4.0,2.0,0.0,2.0
2010-05-01,5.1475,8.0,4.0,1.0,2.0
2010-06-01,5.518,7.0,3.0,1.0,2.0
2010-07-01,8.296666666666667,6.0,3.0,3.0,1.0
2010-08-01,6.396666666666666,12.0,4.0,1.0,1.0
2010-09-01,6.375,10.0,5.0,2.0,1.0
2010-10-01,3.8625,9.0,3.0,0.0,1.0
2010-11-01,8.17,13.0,6.0,2.0,3.0
